Ciudad,Pais,Temp,Temp_Min,Temp_Max,Humedad,Presion,Viento,Nubosidad,Clima
Lima,PE,21.06,18.14,21.06,79,1014,2.06,0,cielo claro
Arequipa,PE,14.04,14.04,14.04,41,1016,2.06,0,cielo claro
Trujillo,PE,19.98,19.98,19.98,83,1013,2.57,53,muy nuboso
Cusco,PE,8.13,8.13,8.13,93,1016,2.57,100,nubes
Iquitos,PE,25.02,25.02,25.02,94,1010,1.54,100,lluvia de gran intensidad
Piura,PE,21.63,21.63,21.63,70,1013,5.51,98,nubes
Chiclayo,PE,20.97,20.97,20.97,83,1013,6.69,0,cielo claro
Huancayo,PE,9.22,9.22,9.22,90,1018,1.12,100,nubes
Tacna,PE,16.11,16.11,16.11,72,1015,1.03,0,cielo claro
Pucallpa,PE,22.02,22.02,22.02,83,1011,2.57,75,muy nuboso
Buenos Aires,AR,24.39,22.74,25.44,55,1008,5.14,0,cielo claro
Córdoba,AR,19.96,19.02,21.35,62,1011,5.14,0,cielo claro
Rosario,AR,20.95,20.95,21.73,78,1008,2.06,0,cielo claro
Mendoza,AR,25.74,25.74,25.74,36,1009,1.54,20,algo de nubes
Santiago,CL,21.28,19.69,22.06,65,1013,1.43,0,cielo claro
Valparaíso,CL,13.8,13.8,13.8,94,1012,2.06,20,algo de nubes
Concepción,CL,16.89,16.89,16.89,77,1015,3.6,0,cielo claro
Bogota,CO,14.13,13.59,14.26,95,1017,3.13,97,nubes
Medellín,CO,17.27,16.14,18.15,87,1015,0.89,30,nubes dispersas
Santiago de Cali,CO,17.21,17.21,23.0,73,1013,4.63,20,algo de nubes
Cartagena,CO,26.79,26.46,26.79,89,1009,4.47,20,algo de nubes
Quito,EC,9.53,9.53,9.53,93,1016,0.87,96,lluvia ligera
Guayaquil,EC,24.98,23.86,24.98,61,1012,6.17,40,nubes dispersas
La Paz,BO,8.99,8.99,8.99,76,1015,1.03,20,algo de nubes
Santa Cruz de la Sierra,BO,19.7,19.7,19.7,94,1009,1.54,76,muy nuboso
Brasília,BR,19.51,18.36,19.51,100,1011,2.06,75,lluvia moderada
São Paulo,BR,16.41,15.81,17.47,87,1016,3.09,20,algo de nubes
Rio de Janeiro,BR,20.98,20.98,21.0,94,1015,2.57,100,nubes
El Salvador,SV,21.98,21.98,21.98,93,1012,1.07,99,lluvia ligera
Caracas,VE,20.94,19.67,20.94,78,1014,3.6,59,muy nuboso
